id,current_stock,name,category,style,description,price,image,gender_affinity,featured
6579c22f be2b 444c a52b 0116dd82df6c,15,Tan Backpack,accessories,backpack,This tan backpack is nifty for traveling,90.99,6579c22f be2b 444c a52b 0116dd82df6c.jpg,,
2e852905 c6f4 47db 802c 654013571922,15,Pale Pink Backpack,accessories,backpack,Pale pink backpack for women,123.99,2e852905 c6f4 47db 802c 654013571922.jpg,,
4ec7ff5c f70f 4984 b6c4 c7ef37cc0c09,17,Gainsboro Backpack,accessories,backpack,This gainsboro backpack for women is first rate for the season,87.99,4ec7ff5c f70f 4984 b6c4 c7ef37cc0c09.jpg,,
7977f680 2cf7 457d 8f4d afa0aa168cb9,17,Gray Backpack,accessories,backpack,This gray backpack for women is first rate for the season,125.99,7977f680 2cf7 457d 8f4d afa0aa168cb9.jpg,,
b5649d7c 4651 458d a07f 912f253784ce,13,Peru Orange Backpack,accessories,backpack,Peru orange backpack for women ,141.99,b5649d7c 4651 458d a07f 912f253784ce.jpg,,
296d144e 7f86 464b 9c5a f545257f1700,11,Black Backpack,accessories,backpack,This black backpack for women is first class for the season,144.99,296d144e 7f86 464b 9c5a f545257f1700.jpg,,
7d3e7f5b 8ac8 49a9 a960 8a24773a8280,7,Saddle Brown Backpack,accessories,backpack,Saddle brown backpack for women ,133.99,7d3e7f5b 8ac8 49a9 a960 8a24773a8280.jpg,,
1d3ae532 f790 44ca a8e8 f55aa9b66526,7,Purple Backpack,accessories,backpack,This purple backpack for women is flawless for the season,75.99,1d3ae532 f790 44ca a8e8 f55aa9b66526.jpg,,
f6cd5dd2 d3ea 4858 844a 04879153e459,18,Black Backpack,accessories,backpack,This black backpack for women is first class for the season,95.99,f6cd5dd2 d3ea 4858 844a 04879153e459.jpg,,
3491deff c0fe 4065 abbc 72b507da84b2,12,Unicorn Backpack,accessories,backpack,Unicorn backpack for women,80.99,3491deff c0fe 4065 abbc 72b507da84b2.jpg,,
1a3fa9d4 e320 4873 be58 f3f6af5f99f4,14,Indian Red Backpack,accessories,backpack,Indian red backpack for women ,135.99,1a3fa9d4 e320 4873 be58 f3f6af5f99f4.jpg,,
